14/04/2020,36
13/04/2020,23
12/04/2020,40
11/04/2020,39
10/04/2020,20
09/04/2020,33
08/04/2020,16
07/04/2020,31
06/04/2020,15
05/04/2020,19
04/04/2020,10
03/04/2020,13
02/04/2020,8
01/04/2020,1
31/03/2020,8
30/03/2020,4
29/03/2020,4
28/03/2020,4
27/03/2020,3
26/03/2020,0
25/03/2020,1
24/03/2020,2
23/03/2020,0
22/03/2020,0
21/03/2020,2
20/03/2020,0
19/03/2020,0
18/03/2020,0
17/03/2020,0
16/03/2020,0
15/03/2020,0
14/03/2020,0
13/03/2020,0
12/03/2020,0
09/03/2020,0
02/03/2020,0
01/03/2020,0
29/02/2020,0
28/02/2020,0
27/02/2020,0
26/02/2020,0
25/02/2020,0
24/02/2020,0
23/02/2020,0
22/02/2020,0
21/02/2020,0
20/02/2020,0
19/02/2020,0
18/02/2020,0
17/02/2020,0
16/02/2020,0
15/02/2020,0
14/02/2020,0
13/02/2020,0
12/02/2020,0
11/02/2020,0
10/02/2020,0
09/02/2020,0
08/02/2020,0
07/02/2020,0
06/02/2020,0
05/02/2020,0
04/02/2020,0
03/02/2020,0
02/02/2020,0
01/02/2020,0
31/01/2020,0
30/01/2020,0
29/01/2020,0
28/01/2020,0
27/01/2020,0
26/01/2020,0
25/01/2020,0
24/01/2020,0
23/01/2020,0
22/01/2020,0
21/01/2020,0
20/01/2020,0
19/01/2020,0
18/01/2020,0
17/01/2020,0
16/01/2020,0
15/01/2020,0
14/01/2020,0
13/01/2020,0
12/01/2020,0
11/01/2020,0
10/01/2020,0
09/01/2020,0
08/01/2020,0
07/01/2020,0
06/01/2020,0
05/01/2020,0
04/01/2020,0
03/01/2020,0
02/01/2020,0
01/01/2020,0
31/12/2019,0
fecha,decesos
